task_order,reward
1,0.916667
2,1.0
3,0.916667
4,0.166667
5,0.75
6,0.333333
8,0.75
9,0.25
11,0.166667
12,0.75
13,0.916667
14,1.0
15,0.666667
16,0.333333
17,1.0
18,0.5
19,0.25
20,0.833333
21,0.5
22,0.916667
23,0.75
24,0.5
25,0.916667
26,0.083333
27,0.916667
28,0.916667
29,0.833333
30,0.666667
31,0.833333
32,0.916667
33,0.166667
34,0.333333
35,0.916667
36,0.75
37,0.333333
38,0.75
39,0.916667
40,0.083333
41,0.25
42,0.916667
43,0.916667
44,0.833333
45,0.25
46,1.0
47,0.833333
48,0.5
49,0.75
50,0.916667
51,0.916667
52,0.916667
53,0.833333
54,1.0
55,0.916667
56,0.833333
57,0.75
58,0.916667
59,0.75
60,0.916667
61,0.916667
62,0.416667
63,0.166667
64,0.5
65,0.916667
66,0.75
67,0.75
68,0.916667
69,0.333333
70,0.916667
71,0.416667
72,0.75
73,0.5
74,0.916667
75,0.666667
76,0.416667
78,0.916667
79,0.333333
80,0.916667
81,0.916667
83,0.833333
84,0.583333
85,0.666667
86,0.916667
87,0.916667
88,0.083333
89,0.916667
90,0.333333
91,1.0
92,0.166667
93,0.333333
94,0.666667
95,1.0
96,1.0
97,0.0
98,0.5
99,0.416667
100,0.666667
101,0.916667
102,0.75
103,0.916667
104,1.0
105,0.916667
106,0.75
108,0.833333
109,0.666667
110,0.916667
112,0.666667
113,0.916667
114,0.75
115,0.666667
116,1.0
117,0.916667
118,0.25
119,0.916667
120,0.916667
121,0.0
122,1.0
123,0.75
124,0.833333
125,0.833333
126,0.333333
127,0.416667
128,0.0
129,0.833333
130,0.916667
131,0.833333
132,0.916667
133,0.666667
134,0.916667
135,0.666667
136,0.166667
137,0.916667
138,1.0
139,0.416667
140,0.75
141,1.0
142,0.5
143,0.75
144,0.916667
145,0.25
146,0.916667
147,0.666667
148,0.5
149,0.666667
150,0.916667
151,0.5
152,0.666667
153,0.916667
154,0.916667
155,0.833333
156,1.0
157,0.416667
158,0.75
159,1.0
160,0.916667
161,0.833333
162,0.833333
163,0.083333
164,0.666667
165,0.5
166,0.916667
167,1.0
168,0.666667
169,0.666667
170,0.666667
171,0.666667
172,0.416667
173,0.333333
174,0.166667
176,0.083333
177,0.75
178,0.416667
179,0.916667
180,0.833333
181,0.916667
182,0.916667
183,0.833333
184,0.583333
185,0.25
187,0.916667
188,0.666667
189,0.0
190,0.916667
191,0.583333
192,0.666667
193,0.583333
194,0.916667
195,0.916667
196,0.5
197,0.916667
198,0.166667
199,0.916667
200,0.583333
203,0.916667
204,0.5
205,0.333333
206,0.916667
207,0.916667
208,0.916667
209,0.416667
210,0.916667
211,0.833333
212,0.916667
213,0.75
214,0.083333
215,0.916667
216,0.833333
218,0.416667
220,1.0
221,0.583333
222,0.583333
223,0.916667
224,0.833333
225,0.666667
226,0.833333
227,0.666667
228,0.166667
229,0.25
230,1.0
231,0.5
232,0.416667
233,1.0
234,0.833333
235,0.75
236,0.75
237,0.5
238,0.916667
239,0.75
240,0.666667
241,1.0
242,0.75
243,0.916667
244,0.916667
246,0.916667
248,0.0
249,0.916667
250,1.0
251,0.666667
252,0.916667
253,0.833333
254,0.333333
255,0.916667
256,0.916667
257,0.583333
258,0.0
259,0.583333
260,0.916667
261,0.916667
262,1.0
263,1.0
264,0.25
265,0.916667
266,0.166667
267,0.166667
268,0.916667
269,1.0
270,0.083333
271,0.666667
272,0.833333
273,0.833333
274,0.416667
275,0.916667
276,0.916667
277,0.75
278,1.0
279,0.333333
280,0.333333
281,0.666667
282,0.916667
283,0.916667
284,1.0
285,0.333333
287,0.666667
288,0.583333
289,0.166667
290,0.75
291,0.75
292,0.916667
293,0.5
294,0.916667
295,1.0
296,0.916667
297,0.333333
298,0.333333
299,0.333333
300,0.416667
